1:Ellen Pompeo-[['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso con panna', 'small', ''], ['an espresso macchiato', 'medium', 'a doughnut'], ['a flat white', 'large', ''], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an iced hot chocolate', 'large', 'a blueberry oatmeal'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['a latte', 'small', ''], ['a green tea', 'medium', ''], ['an espresso macchiato', 'medium', 'a doughnut']]
2:John Noble-[['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['a caramel macchiato', 'medium', ''], ['a flat white', 'medium', 'a pain au chocolat'], ['an americano', 'large', ''], ['an americano', 'large', ''], ['a flat white', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an Earl Grey', 'large', 'a chocolate chip muffin'], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['a cordusio', 'large', 'a pain aux raisins']]
3:Joel Kinnaman-[['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['a green tea', 'large', 'an almond croissant'], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['a noisette', 'large', 'a chocolate chip cookie'], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso macchiato', 'medium', 'a veggie tortilla wrap']]
4:Julie Bowen-[['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['an americano', 'large', 'a chocolate chip muffin'], ['a latte', 'small', 'a breakfast tortilla wrap'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', ''], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut'], ['a white hot chocolate', 'medium', 'a doughnut']]
5:Rachel Bilson-[['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a latte', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a cappuccino', 'medium', 'a doughnut'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['an espresso con panna', 'large', 'an almond croissant'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a caramel macchiato', 'small', 'a gingerbread cookie'], ['a cappuccino', 'medium', 'a croissant'], ['an espresso macchiato', 'large', 'a chocolate chip muffin']]
6:Simon Baker-[['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a salted caramel hot chocolate', 'medium', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a cordusio', 'small', 'an everything bagel'], ['a green tea', 'large', ''], ['a flat white', 'large', 'a lemon pound cake'], ['a green tea', 'large', '']]
7:Lea Michele-[['an iced hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a blueberry muffin'], ['a white hot chocolate', 'small', 'a blueberry muffin'], ['an americano', 'small', 'a gingerbread cookie'], ['a hot chocolate', 'medium', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['an Earl Grey', 'small', ''], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie']]
8:Leighton Meester-[['a mocha', 'small', 'a doughnut'], ['a mocha', 'small', 'a doughnut'], ['a mocha', 'small', 'a doughnut'], ['a mocha', 'small', 'a doughnut'], ['a black tea', 'medium', ''], ['a black tea', 'medium', 'a pain au chocolat'], ['a mocha', 'small', 'a doughnut'], ['a latte', 'small', 'a chocolate chip cookie'], ['a mocha', 'small', 'a doughnut'], ['a mocha', 'small', 'a doughnut'], ['a mocha', 'small', 'a doughnut'], ['an americano', 'medium', ''], ['a mocha', 'small', 'a doughnut'], ['a mocha', 'small', 'a doughnut'], ['an iced hot chocolate', 'small', 'a chocolate caramel shortbread']]
9:Jesse Tyler Ferguson-[['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', ''], ['a flat white', 'large', ''], ['a breakfast tea', 'small', ''], ['a peppermint hot chocolate', 'large', ''], ['a green tea', 'large', ''], ['a cappuccino', 'medium', 'a slice of banana bread'], ['an americano', 'medium', 'an almond croissant'], ['an espresso', 'medium', ''], ['an espresso', 'large', 'a slice of banana bread'], ['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', '']]
10:Patrick Dempsey-[['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['a breakfast tea', 'medium', ''], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['a mocha', 'large', ''], ['a black tea', 'medium', ''], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['an espresso macchiato', 'large', 'a veggie tortilla wrap'], ['a hot chocolate', 'small', ''], ['an espresso macchiato', 'large', 'a veggie tortilla wrap']]
11:Ariana Grande-[['a white hot chocolate', 'large', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['a green tea', 'medium', 'a blueberry oatmeal'], ['an espresso con panna', 'small', 'a double chocolate muffin'], ['an espresso con panna', 'small', 'a double chocolate muffin']]
